index,start_time,end_time,text,character
1,"00:00:00,120","00:00:01,159",一切 ,陆鸢
2,"00:00:01,600","00:00:03,640",还在按照原来的轨迹发展 ,陆鸢
3,"00:00:04,120","00:00:07,599",皇后娘娘千岁 千岁 千千岁 ,他人
4,"00:00:07,599","00:00:09,199",千千岁 ,沈不言
5,"00:00:09,199","00:00:11,000",北烈军已逼近火烽堡 ,他人
6,"00:00:11,000","00:00:13,000",我们在此恭候多时了 ,沈不言
7,"00:00:13,000","00:00:14,119",陆掌宫 ,李拥
8,"00:00:14,519","00:00:16,000",你僭越了 ,李拥
9,"00:00:16,320","00:00:16,879",李拥 ,皇帝
10,"00:00:17,359","00:00:18,879",朕现在就要替鸢姐姐 ,皇帝
11,"00:00:18,879","00:00:20,719",治你通敌叛国之罪 ,皇帝
12,"00:00:22,719","00:00:25,000",李拥死了 是不是一切都变了 ,沈不言
13,"00:00:29,280","00:00:30,600",大病一场 ,沈不言
14,"00:00:42,719","00:00:44,880",那夜陆鸢为了一己之私 ,1沈不言
15,"00:00:44,880","00:00:46,560",下令全城宵禁 ,1沈不言
16,"00:00:47,200","00:00:49,920",其实是为了阻止李拥潜逃出城 ,1沈不言
17,"00:00:53,000","00:00:55,240",陆鸢与元启皇帝无后 ,1沈不言
18,"00:00:55,640","00:00:56,960",她的养子楚同裳 ,1沈不言
19,"00:00:56,960","00:00:58,679",也并非她扶持的傀儡 ,1沈不言
20,"00:00:59,280","00:01:01,640",而是元启皇帝唯一的侄子 ,1沈不言
21,"00:01:01,640","00:01:02,759",北安王的遗孤 ,1沈不言
22,"00:01:05,040","00:01:06,879",李拥叛国投敌 ,沈不言
23,"00:01:06,879","00:01:08,719",却被誉为千古贤相 ,沈不言
24,"00:01:09,000","00:01:10,120",陆鸢一生为国 ,沈不言
25,"00:01:10,120","00:01:11,560",却被冠以妖后之名 ,沈不言
26,"00:01:11,560","00:01:12,319",凭什么 ,沈不言
27,"00:01:14,760","00:01:16,159",这种种污名 ,1沈不言
28,"00:01:17,519","00:01:18,640",陆鸢 ,1沈不言
29,"00:01:19,319","00:01:21,560",你真的一点也不在乎吗 ,1沈不言
30,"00:01:22,079","00:01:22,840",母后 ,楚同裳
31,"00:01:23,519","00:01:24,560",儿臣不解 ,楚同裳
32,"00:01:24,560","00:01:26,879",明明是您扶大厦之将倾 ,楚同裳
33,"00:01:26,879","00:01:28,319",救大晟于贫弱 ,楚同裳
34,"00:01:28,599","00:01:31,760",可百姓非但看不见您的良苦用心 ,楚同裳
35,"00:01:31,760","00:01:33,840",还谣传您贪图享乐 ,楚同裳
36,"00:01:33,840","00:01:35,159",奢靡成性 ,楚同裳
37,"00:01:35,599","00:01:37,319",此般流言蜚语 ,楚同裳
